date,open,high,low,close
2024-04-01 01:51:00,1.07887,1.07889,1.07886,1.07886
2024-04-01 01:52:00,1.07887,1.07887,1.07881,1.07883
2024-04-01 01:53:00,1.07882,1.07884,1.0788,1.0788
2024-04-01 01:54:00,1.0788,1.07881,1.07875,1.07881
2024-04-01 01:55:00,1.0788,1.07881,1.07875,1.07876
2024-04-01 01:56:00,1.07876,1.0788,1.07858,1.07861
2024-04-01 01:57:00,1.07861,1.07865,1.07858,1.07859
2024-04-01 01:58:00,1.0786,1.07866,1.0786,1.07866
2024-04-01 01:59:00,1.07865,1.0787,1.07865,1.07868
2024-04-01 02:00:00,1.07868,1.07868,1.07862,1.07866
2024-04-01 02:01:00,1.07866,1.07867,1.07856,1.07856
2024-04-01 02:02:00,1.07856,1.07862,1.07856,1.07861
2024-04-01 02:03:00,1.07861,1.07861,1.07856,1.0786
2024-04-01 02:04:00,1.0786,1.0786,1.07856,1.07856
2024-04-01 02:05:00,1.07856,1.07856,1.07851,1.07851
2024-04-01 02:06:00,1.07852,1.07855,1.07851,1.07855
2024-04-01 02:07:00,1.07856,1.07868,1.07855,1.07867
2024-04-01 02:08:00,1.07866,1.07866,1.07858,1.07864
2024-04-01 02:09:00,1.07863,1.07863,1.07856,1.07856
2024-04-01 02:10:00,1.07858,1.07861,1.07856,1.07856
2024-04-01 02:11:00,1.07857,1.07861,1.07856,1.07859
2024-04-01 02:12:00,1.07859,1.07863,1.07858,1.07862
2024-04-01 02:13:00,1.07864,1.07869,1.07863,1.07868
2024-04-01 02:14:00,1.07868,1.07872,1.07865,1.07866
2024-04-01 02:15:00,1.07867,1.07873,1.07866,1.07868
2024-04-01 02:16:00,1.07867,1.07871,1.07866,1.07868
2024-04-01 02:17:00,1.07868,1.07872,1.07868,1.07871
2024-04-01 02:18:00,1.07872,1.07872,1.07866,1.07872
2024-04-01 02:19:00,1.07872,1.07878,1.07871,1.07872
2024-04-01 02:20:00,1.07872,1.07873,1.07869,1.0787
2024-04-01 02:21:00,1.0787,1.07872,1.07868,1.0787
2024-04-01 02:22:00,1.07871,1.07874,1.07871,1.07873
2024-04-01 02:23:00,1.07874,1.07874,1.07866,1.07866
2024-04-01 02:24:00,1.07867,1.07873,1.07866,1.07873
2024-04-01 02:25:00,1.07872,1.07872,1.07858,1.07861
